June,food,6.01
August,supplies,9.12
January,clothing,3.63
August,book,2.81
February,supplies,3.43
November,food,2.69
March,book,2.82
July,supplies,4.29
December,food,5.34
March,supplies,3.25
October,food,1.21
June,clothing,7.87
May,food,2.59
February,clothing,3.39
June,clothing,10.76
September,supplies,5.74
June,book,7.16
July,book,2.30
May,clothing,1.60
October,supplies,3.72
December,supplies,3.88
September,supplies,2.82
July,supplies,6.83
October,food,3.69
March,supplies,7.61
April,clothing,7.89
September,supplies,4.26
