June,supplies,7.33
September,supplies,4.27
November,supplies,6.28
January,book,4.07
April,food,3.60
August,clothing,10.59
December,food,7.59
June,food,6.95
October,supplies,10.15
June,supplies,8.69
January,clothing,10.29
December,supplies,10.42
April,food,9.30
May,book,2.65
July,food,6.80
July,clothing,3.36
December,book,2.57
October,supplies,6.00
February,book,1.45
August,supplies,6.09
June,supplies,2.39
June,food,8.04
January,book,5.36
May,clothing,3.67
November,clothing,4.60
January,clothing,1.73
August,book,7.43
May,book,4.51
