June,supplies,9.14
February,book,6.76
September,clothing,5.89
June,clothing,6.24
December,food,10.75
September,clothing,4.98
November,food,5.51
May,book,5.52
December,food,4.57
October,supplies,6.04
March,food,6.86
June,book,3.16
October,book,7.89
October,supplies,7.94
June,supplies,3.63
November,supplies,10.60
April,food,6.80
June,book,5.41
May,clothing,10.32
August,book,2.66
July,book,4.84
June,food,5.50
January,supplies,2.46
June,supplies,6.15
June,clothing,10.88
April,clothing,3.91
November,book,8.30
