December,food,3.30
August,book,7.64
November,supplies,7.16
March,book,4.19
April,clothing,3.79
February,supplies,1.36
July,clothing,2.41
April,clothing,6.26
September,supplies,8.95
March,supplies,2.26
February,book,3.73
March,book,1.51
November,food,3.76
December,clothing,10.23
April,book,2.23
December,food,6.29
March,food,8.13
March,book,1.65
July,food,4.66
February,supplies,1.22
June,book,7.70
December,food,2.57
April,book,9.88
April,supplies,8.99
June,supplies,4.92
September,clothing,8.15
July,supplies,1.30
