September,supplies,4.11
April,supplies,5.45
January,supplies,2.20
March,food,6.18
September,supplies,7.32
August,supplies,6.79
February,supplies,4.72
November,supplies,5.40
November,supplies,8.07
August,supplies,1.31
February,book,7.23
April,food,2.08
September,supplies,9.40
March,clothing,10.13
February,clothing,2.68
August,clothing,7.99
August,book,2.92
January,supplies,10.55
April,food,5.42
August,clothing,1.55
December,book,4.41
March,supplies,10.02
December,clothing,9.04
August,supplies,9.47
