July,book,1.61
September,clothing,5.42
August,book,9.53
September,supplies,9.49
November,book,9.62
July,food,7.84
July,food,10.84
January,supplies,7.67
October,clothing,1.63
November,food,2.16
October,clothing,4.46
July,food,9.71
May,clothing,8.23
November,food,5.74
August,clothing,4.05
November,clothing,4.57
November,food,9.57
July,food,7.79
April,clothing,9.65
June,supplies,9.63
July,clothing,4.95
February,clothing,3.36
January,clothing,9.24
January,food,3.22
June,clothing,7.50
May,book,1.98
August,food,5.17
