March,book,3.14
December,food,9.53
April,clothing,4.09
December,clothing,3.38
May,food,1.11
October,clothing,6.49
December,food,5.73
June,clothing,4.91
May,book,1.61
February,book,6.40
June,book,8.62
February,supplies,4.35
November,book,1.91
June,food,10.36
March,book,5.68
July,book,5.43
September,book,6.46
November,book,4.42
April,book,4.10
August,clothing,1.54
February,clothing,4.02
September,clothing,2.07
June,clothing,7.76
May,clothing,8.99
February,food,2.49
June,supplies,6.71
February,clothing,9.75
November,supplies,7.98
November,clothing,8.31
