March,supplies,2.08
October,supplies,9.30
June,clothing,9.72
March,supplies,1.50
February,food,1.06
September,clothing,5.57
April,clothing,8.74
June,clothing,10.08
March,food,6.44
June,supplies,2.74
July,food,2.48
December,clothing,7.15
July,book,6.63
October,supplies,8.97
October,food,3.99
January,food,5.22
November,clothing,9.14
October,supplies,9.39
September,supplies,3.52
June,food,2.69
August,book,1.45
July,food,1.71
May,supplies,1.79
September,supplies,2.53
October,supplies,9.70
October,food,9.44
March,book,3.31
