March,food,10.55
July,book,9.34
April,book,9.43
April,clothing,3.31
September,book,6.07
November,food,7.57
February,supplies,3.50
May,book,7.75
October,food,6.49
June,supplies,9.65
March,book,4.31
December,food,6.90
January,supplies,1.57
December,clothing,9.41
November,book,10.59
July,supplies,4.47
August,book,3.41
October,food,4.87
December,supplies,3.07
October,food,2.62
August,book,1.29
September,clothing,9.88
February,book,8.64
December,food,6.01
July,clothing,1.08
November,book,2.04
June,food,9.72
